,0
639,1995
640,1993
641,2000
642,1997
643,1995
644,1998
645,1997
646,1998
647,1990
648,1996
649,1982
650,1995
651,2003
652,1996
653,1993
654,1989
655,2008
656,2006
657,2004
658,2000
659,2012
660,2007
661,2013
662,2004
663,2010
664,2011
665,2015
666,2015
667,2016
668,2005
669,2014
670,2008
671,1998
672,2009
673,2007
674,1835
675,1956
676,1952
677,1886
678,1883
679,1876
680,1859
681,1844
682,1838
683,1823
684,1850
685,1817
686,1824
687,1835
688,1838
689,1853
690,1853
691,1862
692,1858
693,1872
694,1874
695,1883
696,1896
697,1911
698,1913
699,1906
700,1935
701,1934
702,1936
703,1944
704,1948
705,1939
706,1957
707,1954
708,1954
709,1971
710,1971
711,1960
712,1970
713,1976
714,1962
715,1978
716,1960
717,1957
718,1966
719,1966
720,1960
721,1968
722,1970
723,1956
724,1972
725,1959
726,1972
727,1978
728,1967
729,1966
730,1979
731,1968
732,1979
733,1977
734,1970
735,1975
736,1964
737,1968
738,1960
739,1971
740,1970
741,1975
742,1967
743,1960
744,1974
745,1983
746,1978
747,1974
748,1982
749,1974
750,1984
751,1984
752,1992
753,1987
754,1987
755,1992
756,1987
757,1996
758,1992
759,1994
760,1992
761,2001
762,2004
763,1998
764,2005
765,2022
766,2005
767,2007
768,2012
769,2008
770,2016
771,2024
772,2005
773,2011
774,2019
775,2015
776,2014
777,1999
778,2013
779,1999
780,2024
781,1996
782,2027
783,2011
784,2010
785,2023
786,2028
787,2045
788,2051
789,2059
790,2054
791,2056
792,2047
793,2066
794,2049
795,2041
796,2013
797,2020
798,1998
799,1990
800,1992
801,1980
802,1979
803,1985
804,1980
805,1992
806,1974
807,1987
808,1981
809,1983
810,1987
811,2040
812,2083
813,2130
814,2183
815,2325
816,2423
817,2527
818,2559
819,2523
820,2368
821,2096
822,2004
823,1901
824,1858
825,1838
826,1831
827,1853
828,1845
829,1851
830,1860
831,1872
832,1891
833,1893
834,1894
835,1919
836,1917
837,1930
838,1925
839,1943
840,1952
841,1954
842,1951
843,1960
844,1962
845,1978
846,1979
847,1973
848,1978
849,1984
850,1991
851,1983
852,1999
853,1992
854,1998
855,2006
856,1999
857,2016
858,2038
859,2006
860,2017
861,2027
862,2031
863,2051
864,2044
865,2070
866,2062
867,2055
868,2056
869,2070
870,2080
871,2078
872,2077
873,2074
874,2087
875,2102
876,2091
877,2102
878,2114
879,2116
880,2128
881,2108
882,2108
883,2102
884,2096
885,2081
886,2074
887,2082
888,2059
889,2058
890,2050
891,2027
892,2009
893,1991
894,1981
895,1949
896,1932
897,1918
898,1893
899,1885
900,1894
901,1882
902,1890
903,1865
904,1868
905,1876
906,1887
907,1884
908,1888
909,1895
910,1902
911,1898
912,1906
913,1911
914,1914
915,1922
916,1918
917,1936
918,1937
919,1944
920,1955
921,1947
922,1984
923,1950
924,1972
925,1958
926,1982
927,1971
928,1974
929,1967
930,1986
931,1979
932,1986
933,1966
934,1955
935,1976
936,1972
937,1968
938,1969
939,1967
940,1998
941,1976
942,1994
943,1982
944,1987
945,1996
946,1983
947,1974
948,1991
949,1984
950,2004
951,1982
952,2009
953,1995
954,1991
955,2000
956,1991
957,1999
958,1988
959,1999
960,1979
961,2006
962,1983
963,1995
964,1986
965,2010
966,1993
967,2000
968,1994
969,2012
970,1989
971,1993
972,1986
973,1999
974,1986
975,1995
976,1995
